record_type,dependency_cluster_id,view_ids,source_model,source_report,common_evidence_set,release_id,used_numerically,status,raw_strength,capped_strength,cap,cap_binding,marginal_influence
evidence_view,common:scenario_v4_report,registered:2026-07-10_nasdaq-ath-eoy-2026_r1,forecast_record:2026-07-10_nasdaq-ath-eoy-2026_r1,scenario_v4_report,scenario_v4_report,2026-07-10_nasdaq-ath-eoy-2026_r1,False,REFERENCE_ONLY_ENDOGENOUS,0.17807752595227685,,0.35,False,
evidence_view,common:question:nasdaq-corr10-augoct-2026,registered:2026-07-20_nasdaq-corr10-augoct-2026_r2,forecast_record:2026-07-20_nasdaq-corr10-augoct-2026_r2,,question:nasdaq-corr10-augoct-2026,2026-07-20_nasdaq-corr10-augoct-2026_r2,False,BLOCKED_NEEDS_REFORECAST,0.18867262111629587,,0.35,False,
evidence_view,common:scenario_v4_report,registered:2026-07-10_nasdaq-eoy-above-jul9-2026_r1,forecast_record:2026-07-10_nasdaq-eoy-above-jul9-2026_r1,scenario_v4_report,scenario_v4_report,2026-07-10_nasdaq-eoy-above-jul9-2026_r1,False,REFERENCE_ONLY_ENDOGENOUS,0.17807752595227685,,0.35,False,
evidence_view,common:question:nfp-jul2026-below100k,registered:2026-07-20_nfp-jul2026-below100k_r1,forecast_record:2026-07-20_nfp-jul2026-below100k_r1,,question:nfp-jul2026-below100k,2026-07-20_nfp-jul2026-below100k_r1,False,REFERENCE_ONLY,0.1886703506803844,,0.35,False,
evidence_view,common:question:nvda-dc-beat-2026aug,registered:2026-07-15_nvda-dc-beat-2026aug_r2,forecast_record:2026-07-15_nvda-dc-beat-2026aug_r2,,question:nvda-dc-beat-2026aug,2026-07-15_nvda-dc-beat-2026aug_r2,False,REFERENCE_ONLY,0.1837903488236441,,0.35,False,
evidence_view,common:question:fomc-2026-10-28-hike,registered:2026-07-08_fomc-2026-10-28-hike_r1,forecast_record:2026-07-08_fomc-2026-10-28-hike_r1,,question:fomc-2026-10-28-hike,2026-07-08_fomc-2026-10-28-hike_r1,False,REFERENCE_ONLY,0.17646267906891203,,0.35,False,
evidence_view,common:market:polymarket:fomc-2026-10-28-hike,market:2026-08-03T09:33:58+00:00:1:fomc-2026-10-28-hike,market_implied,,market:polymarket:fomc-2026-10-28-hike,2026-08-03T09:33:58+00:00,False,REFERENCE_ONLY,,,0.35,False,
evidence_view,common:market:options_bl:nasdaq-eoy-above-jul9-2026,market:2026-08-03T09:33:58+00:00:2:nasdaq-eoy-above-jul9-2026,market_implied,,market:options_bl:nasdaq-eoy-above-jul9-2026,2026-08-03T09:33:58+00:00,False,REFERENCE_ONLY,,,0.35,False,
evidence_view,common:market:options_bl:nasdaq-ath-eoy-2026,market:2026-08-03T09:33:58+00:00:3:nasdaq-ath-eoy-2026,market_implied,,market:options_bl:nasdaq-ath-eoy-2026,2026-08-03T09:33:58+00:00,False,REFERENCE_ONLY,,,0.35,False,
diagnostic_status,,,,,,,,NOT_APPLICABLE_NO_APPROVED_NUMERICAL_VIEWS,,,,,NOT_APPLICABLE: no approved numerical view entered the solver
