date,phase,raw_median_ratio,year_residual,shape_factor,gbm_endpoint_baseline_s1,structural_s1,structural_s2,structural_s3,legacy_analog_raw
2026-08-03,42.00,1.0000,1.0000,1.0000,25914.0,25914,25914,25914,25914
2026-08-31,42.92,0.9727,0.9587,0.9293,26428.2,24561,24187,23755,25176
2026-09-29,43.87,0.9962,0.9677,0.9446,26952.7,25459,24690,23815,23832
2026-10-27,44.79,0.9377,0.8977,0.8292,27487.5,22793,21769,20622,24690
2026-11-24,45.71,1.0139,0.9566,0.9259,28032.9,25957,24413,22713,26396
2026-12-23,46.67,1.0737,0.9985,0.9974,28589.2,28514,26410,24133,26798
2026-12-31,46.93,1.0793,1.0000,1.0000,28730.0,28730,26508,24113,26412
2027-01-08,47.19,1.0905,1.0000,1.0000,28863.0,28863,26740,24170,25821
2027-02-08,48.21,1.1346,1.0208,1.0363,29306.8,30371,28099,25390,26568
2027-04-07,50.11,1.1802,1.0221,1.0387,30214.8,31384,28958,26147,28514
2027-06-03,51.99,1.2275,1.0233,1.0407,31151.0,32420,29833,26919,32559
2027-07-02,52.94,1.1833,0.9678,0.9447,31630.0,29881,27460,24769,34447
2027-08-04,54.02,1.2522,1.0000,1.0000,32239.0,32239,29577,26667,37956
